"item_type","name","information_text","references"
"FREIGHT_CAR","GHS 614303","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","PMR 617277","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FNP 620511","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","PES 624273","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FNP 609758","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 611030","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","PDQ 616242","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 623828","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 623834","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 623837","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 623841","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 623843","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 623854","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 623987","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 623988","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 623993","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 623999","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 624003","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 624004","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 624008","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 624012","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 624013","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 646155","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 646157","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 646162","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 646164","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 646171","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 646175","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 646177","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 646178","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GPR 622721","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GPR 622908","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GTS 623485","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GFS 613748","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HNR 624020","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 610574","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 610854","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 611175","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GHS 614316","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","HES 623858","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FNP 609777","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 610616","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 610619","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 610823","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 610862","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 610938","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 610948","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 610960","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 611184","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 611189","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GHS 613926","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GHS 614183","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GNR 614415","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","PMR 617312","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","PNR 617356","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","PNR 617374","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","PNR 617507","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GQR 620528","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GQR 620872","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GQR 620974","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GQR 621185","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 621602","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","FRS 622100","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GPR 622744","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GDR 622787","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GDR 622832","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GDR 622860","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GPR 622981","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
"FREIGHT_CAR","GTS 623441","Vagão arrendado inservível, substituído da malha inativa da MRS (ANTT - portaria nº89 de 5 de Abril de 2011 - Anexo I)","http://vfco.brazilia.jor.br/ferrovias/estrada.de.ferro.central.do.brasil/2011-04-05-portaria-089-ANTT.shtml"
