aar_wheel_arrangement,actual_owner,adhesion_factor,brake_system,manufacturer,cooling_fluid_capacity,cylinders_size,delivered_date,first_service_year,first_unit_year,fuel_capacity,fuel_type,gauge,generator,height,horsepower_total,horsepower_traction,length,lubrificant_oil_capacity,minimum_radius,model,motor_builder,motor_capacity,motor_primary,motor_type,multiple_traction_units,nickname,operated_railroads,operation_locations,original_railroads,prime_mover_type,rpm_limit,sand_capacity,serial_number,sigo_numeric_range,status,total_units,traction_effort,traction_motors,trucks_type,url,velocity_max,velocity_min,weight,weight_adherent,weight_per_axle,wheel_diameter,wheelbase,width
B-B,,0.25,26L,MACOSA,681,"230,2 mm (9 1/16 in) x 254,0 mm (10 in)",,,1971,4000 L,,Métrica,D32T,3.0,1650,,15.0,,,,EMD,10.560cc³ x 12,,12 cilindros em V Aspirado,,Macosas,,,,DIESEL_ELECTRIC,900,0.34,,4301-4429,,,15,D29 ou D31,Flexicoil B,,97.0,21.7,73.0,73.0,18.25,1016.0,2.0,2.0
C-C,,0.25,26L/28-LAV-1,EMD,,"230,2 mm (9 1/16 in) x 254,0 mm (10 in)",,,1974,,,Métrica,D32T,3.0,2200,,17.0,,,,EMD,10.560cc³ x 16,,16 cilindros em V  Aspirado,,,,,,DIESEL_ELECTRIC,900,0.34,,"4501-4535  MP: 4507, 4509, 4511, 4515, 4516, 4521, 4524, 4525, 4529, 4531",,,,D29  MP: D31,Flexicoil GC,,,,,,,1016.0,,2.0
B-B; A1A-A1A,,,6SL,EMD,,"215,9 mm (8 1/2 in) x 254,0 mm (10 in)",,,,,,Métrica,D12F,3.0,950,,14.0,,,,EMD,9.287cc³ x 8,,8 cilindros em V Aspirado,,,,,,DIESEL_ELECTRIC,835,0.34,,,,,,D19 e D29,"Flexi-coil B (L-136), Flexi-coil A1A",,100.0,18.0,,,,1016.0,,
B-B,,0.25,26LA,EMD,,"215,9 mm (8 1/2 in) x 254,0mm (10 in)",,,1960,1893 L,,Métrica,D25-E,3.0,950,,11.0,,,,EMD,9.290cc³ x 8,,Combustão interna,,,,,,DIESEL_ELECTRIC,835,0.34,,Série 4000 a 4050 ( RFFSA ) e 3600 a 3650 ( Fepasa ),,,15,D-29,Flexicoil,,100.0,16.0,62.0,62.0,15.5,1016.0,2.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-B,,,,EMD,,,,,1954,,,Métrica,,4420.0,,,17120.0,,,,,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,GM - D31,,,,,112944.0,,,,,3124.0
C-C,,,,EMD,,,,,1974,6000 L,,Métrica,,3.0,,,16.0,,,,EMD,,,8V - Turbo,,,,,,DIESEL_ELECTRIC,900,0.34,,,,,20,,SCAW - GLC,,100.0,19.0,82.72,,13.72,915.0,9.0,2.0
C-C,,,,Villares,,,,,1982,7000 L,,Métrica,,3.0,,,17.0,,,,EMD,,,Turbo Diesel / 12V,,Villares,,,,DIESEL_ELECTRIC,900,0.51,,4601 a 4652,,,23,,HTC,,105.0,20.0,108.0,,18.0,1016.0,9.0,2.0
C-C,,,,Villares,,,,,1986,7000 L,,Métrica,,3.0,,,17.0,,,,EMD,,,12V - Turbo,,,,,,DIESEL_ELECTRIC,900,0.51,,4653 a 4662,,,28,,HTC,,80.0,18.3,120.0,,20.0,1016.0,9.0,2.0
C-C,,0.25,26L,Villares,,"230,2 mm (9 1/16 in) x 254,0 mm (10 in)",,,1972,7360 L / 9462 L / 10870 L,,Métrica,AR-10-F,4.0,,,20.0,,,,EMD,10.560cc³ x 16,,"2 tempos,  16 cilindros em V(45º)  Turbo Alimentado",,GT  GT26,,,,DIESEL_ELECTRIC,900,0.34,,,,,,901 a 934: D29  935 a 940: D31,Flexcoil C,,,20.0,,,,1016.0,,3.0
C-C,,,,EMD,1045,,,,1974,6100 L,,Métrica,,3.0,,,19.0,,,,EMD,,,V16 - Turbo,,,,,,DIESEL_ELECTRIC,900,0.34,,,,,27,,SCAW - GLC,,100.0,19.0,,,18.583,915.0,9.0,2.0
C-C,,,,EMD,,,,,1961,,,Larga,D22,4.0,,,16.0,,,,EMD,,,16 cilindros em V,,"Cinquentinha, GMinhas, Cascudinhas.",,,,DIESEL_ELECTRIC,935,,,5101-5145 (1 baixa),,,,D47,,,104.0,,163.01,163.01,27.168,1016.0,2.0,3.0
C-C,,,,EMD,,,,,1978,,,Larga,,,,,,,,,EMD,,,16V,,,,,,DIESEL_ELECTRIC,900,,,,,,,,,,,,,,,,,
C-C,,,,EMD,,"230,2 mm (9 1/16 in) x 254,0 mm (10 in)",,,1967,,,Larga,D32,4.0,,,17.0,,,,EMD,,,16 cilindros em 45º V (V16),,,,,,DIESEL_ELECTRIC,,,,5101-5144,,,,D77,,,96.8,,163.01,163.01,,,2.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-C,,,,EMD,,,,,1972,12000 L - 15000 L,,,,4750.0,,,20980.0,,,,EMD,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,6 × D77/78 DC,,,,,,,,,,3130.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-C,,,,EMD,,,,,1992,,,,,,,,,,,,EMD,,,V16 V12 para o SD70ACe-T4,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-B,,,,EMD,,,,,1954,,,,,,1350,,,,,,,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,GM - D77,,,100.0,,112000.0,,28000.0,,,
1-C+C-1,,,,GE,,,,,1928,,,Larga,,,2500,,18.0,,,,,,,,,Quadradona,,,,ELECTRIC,,,,,,,,,914 mm,,,,133.0,,,1138.0,,
1-C+C-1,,,14EL,GE,,,,,1943,,,Métrica,GE 5GMG-136B1 / YX32A,3.0,,,18.0,,,,,,,,,Loba e Westinghouse (para as desse fabricante),,,,ELECTRIC,,0.66,,,,,,G.E.:5 GE 734A1 Westinghouse: 374A,Barras Soldadas,,,,130.0,108.0,,1118.0,,2.0
B-B,,,,GE,,,,,1952,,,,GE 5GT-558,,670,,,,,,Cummins,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,GE 5GE 763,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-B+B-2,,,,GE,,,,,1921,,,Larga,,,,,16.0,,,,,,,,,Quadradinha,,,,ELECTRIC,,,,6301 a 6304,,,,,,,,,107.0,,,1067.0,,
2-C+C-2,,,,GE,,,,,1940,,,Larga,,4343.0,3870,,23101.0,,,,GE,,,,,V8 ou Escandalosa,,,,ELECTRIC,,,,,,,,,Barras soldadas,,,20.0,,,,,,3010.0
2-D+D-2,,,,GE,,,,,,,,,,3230.0,,,27080.0,,,,GE,,,GE750 (8),,"Little Joe (Milwaukee), 800s (South Shore) e Russa (CPEF)",,,,ELECTRIC,,,,,,,,,,,109.0,,247500.0,,,,,4390.0
C-C,,0.25,6SL,GE,,,,,1953,5300 L,,Métrica,,3962.0,1750,,15951.0,,,,ALCO,,,12 cilindros em V,,Híbridas,,,,DIESEL_ELECTRIC,,,,2487-2499,,,,GE-561,,,96.0,,97000.0,,16200.0,914.4,,2718.0
B,,0.25,AS-2,GE,64,"125,0 mm x 150,0 mm",,,1946,284 L,,Métrica,GT-1503-X1,3.0,,,5.0,,,,Cummins,,,,,Bitruca / Bitruquinha,,,,DIESEL_ELECTRIC,1850,,,0505-0510 (RFFSA),,,6,GE 733 - FI,,,32.0,,23.1,,11.55,838.2,1.0,2.0
B-B,,,,GE,,,,,1947,,,Métrica,,,380,,,,,,Cummins,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,,,,,,,,
"B-B (1,6m) ou C-C (1,0m)",,,,GE,,,,,1947,,,,,,600,,,,,,Cooper-Bessemer,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,,,,,,,,
B-B,,,,GE,,,,,1956,,,Larga,,,,,,,,,,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,,,,,,,,
C-C,,,,GE,,,,,2008,,,Métrica,,4.0,4500,,22.0,,,,GE,,,Combustão interna,,,,,,DIESEL_ELECTRIC,,,,,,,,,Hi-AD C-C (corrente alternada),,113.0,,198.0,,33.0,,,3.0
B+B,,,,GE,,,,,1921,,,Larga,,,,,11.0,,,,,,,,,Quadradinha,,,,ELECTRIC,,,,6401 a 6408,,,,,,,,,88.9,,,1066.0,,
B-B,,,,GE,,,,,1924,,,Larga,,,662,,,,,,,,,,,Baratinha 1.ª série Baratona 2.ª série,,,,ELECTRIC,,,,6501-6518,,,,,,,,,55.5,,,1016.0,,
,,,F-4,GE,,,,,1964,,,Métrica,,4254.0,,,13942.0,,,,GE,,,,,Mini-Saia,,,,ELECTRIC,,,,912100,,,,,fundidos,,90.0,,72800.0,72800.0,18200.0,1118.0,6501.0,3047.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-C/B-B+B-B,,,,GE,,,,,1981,,,Métrica,,,3500,,,,,,,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,ELETROFAN EF570,,,80.0,,180.0,,22.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-B+B-B,,,,GE,,,,,1995,,,Métrica,,,4000,,,,,,GE,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,,,,,,,,
B+B-B+B,,,,GE,,,,,1997,,,Métrica,,,4000,,,,,,GE,,,,,,,,,DIESEL_ELECTRIC,,,,EFVM: 1113-1311 a partir de 2009: VLI: 6020-6191 e 8667-8684 ALL: 8300-8315 Brado: 9577-9579,,,,,,,,,,,,,,
C-C,,,,GE,,,,,1964,,,Métrica,2x GMG136,4388.0,5250,,18.0,,,,GE,,,,,"Vandeca, Vanderleia",,,,ELECTRIC,,,,6351-6360,,,22,6x G.E. 729,,,134.0,,144.0,144.0,24.0,1.0,2.0,2997.0
C-C,,,26L,GE,,,,,1962,,,Métrica,,4.0,,,15.0,,,,,,,,,Charutão ou Carioquinha,,,,ELECTRIC,859,,,2151-2156 / 9080-9085,,,,G.E. 729,,,117.0,,123.0,123.0,20.5,1168.4,2.0,3.0
C-C,,,,GE,,"228,6 mm x 266,7 mm",,,1999,,,Métrica,,,2400,,18.0,,,,GE,,,Combustão interna,,,,,,DIESEL_ELECTRIC,1000,,,,,,36,,,,,,117.6,,19.6,,,
C-C,,,,GE,,,,,1976,13900 L - 15000 L,,,,4.0,3350,,20.0,,,,,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,GM - EMD D-31,,,113.0,,172.0,,28.66,,,3.0
C-C,,,,GE,,,,,1984,,,,,,,,,,,,,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
